"SiteID","TOO","AB"
2001,3490,26
2001,12790,38
2001,13040,48
2001,13210,282
2001,15840,24
2001,17790,61
2001,23760,2
2001,23940,80
2001,24070,31
2001,24500,1
2001,24740,1
2001,33680,16
2001,33820,9
2001,34040,10
2001,35070,22
2001,35490,21
2001,37200,51
2001,37400,13
2001,37570,31
2001,37940,76
2001,38440,100
2001,38760,41
2001,39080,21
2001,39130,3
2001,39210,82
2001,39330,31
2001,39480,81
2001,39580,4
2001,40130,129
2001,40320,1
2001,41120,38
2001,41520,82
2001,41910,11
2001,42380,238
2001,42580,1
2001,42600,324
2001,42750,41
2001,43010,172
2001,43630,6
2001,43950,4
2001,44040,13
2001,44060,4
2001,44200,2
2001,44260,11
2001,44300,14
2001,44450,2
2001,44940,28
2001,46110,31
2001,46140,4
2001,49770,53
2001,50020,53
2001,50070,10
2001,50260,1
2001,50500,6
2001,51220,348
2001,51400,30
2001,51430,84
2001,51500,15
2001,51520,29
2001,51650,64
2001,51780,129
2001,52120,44
2001,52240,38
2001,53270,49
2001,53710,21
2001,54150,83
2010,3360,5
2010,3490,3
2010,13210,112
2010,15840,47
2010,17790,105
2010,21480,6
2010,23760,1
2010,23940,58
2010,24070,21
2010,24080,4
2010,24500,3
2010,24740,19
2010,33680,32
2010,33820,16
2010,34040,42
2010,35070,55
2010,35490,21
2010,37200,80
2010,37400,28
2010,37570,113
2010,37940,95
2010,38440,229
2010,38760,65
2010,39080,5
2010,39130,3
2010,39210,61
2010,39330,73
2010,39480,122
2010,39580,2
2010,39630,12
2010,40130,101
2010,41120,72
2010,41520,63
2010,41910,93
2010,42380,55
2010,42580,28
2010,42600,80
2010,42750,38
2010,43010,12
2010,43630,53
2010,44040,64
2010,44060,48
2010,44180,20
2010,44210,1
2010,44220,3
2010,44230,2
2010,44250,1
2010,44260,19
2010,44300,36
2010,44450,68
2010,44940,104
2010,46110,35
2010,46140,12
2010,49770,138
2010,50020,93
2010,50070,29
2010,51220,130
2010,51400,55
2010,51430,213
2010,51520,11
2010,51650,4
2010,51780,19
2010,52120,38
2010,52240,61
2010,53270,6
2010,53710,10
2014,3360,7
2014,3490,4
2014,12790,7
2014,13040,24
2014,13210,203
2014,15840,21
2014,17790,71
2014,21480,4
2014,23760,7
2014,23940,82
2014,24070,22
2014,24500,3
2014,24740,7
2014,33680,4
2014,33820,6
2014,34040,62
2014,35070,37
2014,35490,5
2014,37200,50
2014,37400,9
2014,37570,36
2014,37940,128
2014,38440,394
2014,38540,2
2014,38760,38
2014,39080,5
2014,39130,411
2014,39210,206
2014,39330,90
2014,39480,197
2014,39580,17
2014,39630,38
2014,40130,100
2014,41120,22
2014,41520,165
2014,41910,31
2014,42380,60
2014,42580,2
2014,42600,117
2014,42750,45
2014,43010,50
2014,43950,2
2014,44040,42
2014,44060,6
2014,44180,1
2014,44250,1
2014,44260,4
2014,44300,54
2014,44450,1
2014,44940,61
2014,46110,27
2014,46140,4
2014,49770,188
2014,50020,89
2014,50070,2
2014,51220,370
2014,51400,11
2014,51430,125
2014,51520,51
2014,51650,9
2014,51780,21
2014,52120,55
2014,52240,13
2014,53270,42
2014,53710,39
2014,54150,27
2016,3490,15
2016,12790,6
2016,13210,107
2016,15840,33
2016,17790,50
2016,23760,4
2016,23940,28
2016,24070,5
2016,24080,1
2016,24500,3
2016,24740,7
2016,33680,29
2016,33820,5
2016,34040,27
2016,35070,20
2016,35490,38
2016,37200,84
2016,37400,17
2016,37570,31
2016,37940,55
2016,38440,221
2016,38760,46
2016,39210,67
2016,39330,52
2016,39480,63
2016,39580,3
2016,39630,3
2016,40130,55
2016,41120,71
2016,41520,54
2016,41910,42
2016,42380,16
2016,42580,3
2016,42600,91
2016,42750,24
2016,43010,22
2016,43630,4
2016,43900,1
2016,44040,47
2016,44060,45
2016,44180,4
2016,44190,1
2016,44220,6
2016,44230,2
2016,44260,17
2016,44300,40
2016,44450,20
2016,44940,156
2016,46110,14
2016,49770,71
2016,50020,49
2016,50070,7
2016,51220,147
2016,51400,11
2016,51430,164
2016,51650,21
