,SiteID,EnvPred
0,101001000202.0,13.0
1,101001000202.0,7.0
2,101001000202.0,4.0
3,101001000202.0,3.0
4,101001000202.0,2.0
5,101001000202.0,2.0
6,101001000202.0,1.0
7,101001000202.0,1.0
8,101001000202.0,1.0
9,101001000202.0,1.0
10,101001000381.0,13.0
11,101001000381.0,7.0
12,101001000381.0,5.0
13,101001000381.0,3.0
14,101001000381.0,3.0
15,101001000381.0,2.0
16,101001000381.0,2.0
17,101001000381.0,1.0
18,101001000381.0,1.0
19,101001000381.0,1.0
20,101001000381.0,1.0
21,101001000385.0,13.0
22,101001000385.0,7.0
23,101001000385.0,5.0
24,101001000385.0,3.0
25,101001000385.0,2.0
26,101001000385.0,2.0
27,101001000385.0,1.0
28,101001000385.0,1.0
29,101001000385.0,1.0
30,101001000385.0,1.0
31,101001000450.0,12.0
32,101001000450.0,6.0
33,101001000450.0,4.0
34,101001000450.0,3.0
35,101001000450.0,2.0
36,101001000450.0,2.0
37,101001000450.0,1.0
38,101001000450.0,1.0
39,101001000450.0,1.0
40,101001000450.0,1.0
41,101005000025.0,14.0
42,101005000025.0,8.0
43,101005000025.0,5.0
44,101005000025.0,4.0
45,101005000025.0,3.0
46,101005000025.0,2.0
47,101005000025.0,2.0
48,101005000025.0,1.0
49,101005000025.0,1.0
50,101005000025.0,1.0
51,101005000025.0,1.0
52,101005000083.0,14.0
53,101005000083.0,8.0
54,101005000083.0,5.0
55,101005000083.0,4.0
56,101005000083.0,3.0
57,101005000083.0,2.0
58,101005000083.0,2.0
59,101005000083.0,1.0
60,101005000083.0,1.0
61,101005000083.0,1.0
62,101005000083.0,1.0
63,101005000269.0,16.0
64,101005000269.0,9.0
65,101005000269.0,6.0
66,101005000269.0,5.0
67,101005000269.0,4.0
68,101005000269.0,3.0
69,101005000269.0,2.0
70,101005000269.0,2.0
71,101005000269.0,2.0
72,101005000269.0,1.0
73,101005000269.0,1.0
74,101005000269.0,1.0
75,101005000269.0,1.0
76,101005000269.0,1.0
77,101005000299.0,14.0
78,101005000299.0,7.0
79,101005000299.0,5.0
80,101005000299.0,3.0
81,101005000299.0,2.0
82,101005000299.0,2.0
83,101005000299.0,1.0
84,101005000299.0,1.0
85,101005000299.0,1.0
86,101005000299.0,1.0
87,101005000325.0,14.0
88,101005000325.0,8.0
89,101005000325.0,5.0
90,101005000325.0,4.0
91,101005000325.0,3.0
92,101005000325.0,2.0
93,101005000325.0,2.0
94,101005000325.0,1.0
95,101005000325.0,1.0
96,101005000325.0,1.0
97,101005000325.0,1.0
98,101005000366.0,14.0
99,101005000366.0,8.0
100,101005000366.0,5.0
101,101005000366.0,4.0
102,101005000366.0,3.0
103,101005000366.0,2.0
104,101005000366.0,2.0
105,101005000366.0,1.0
106,101005000366.0,1.0
107,101005000366.0,1.0
108,101005000366.0,1.0
109,101005000389.0,13.0
110,101005000389.0,7.0
111,101005000389.0,5.0
112,101005000389.0,3.0
113,101005000389.0,2.0
114,101005000389.0,2.0
115,101005000389.0,1.0
116,101005000389.0,1.0
117,101005000389.0,1.0
118,101005000389.0,1.0
119,11003000020.0,11.0
120,11003000020.0,6.0
121,11003000020.0,4.0
122,11003000020.0,3.0
123,11003000020.0,2.0
124,11003000020.0,2.0
125,11003000020.0,1.0
126,11003000020.0,1.0
127,11003000020.0,1.0
128,11003000020.0,1.0
129,11003000037.0,11.0
130,11003000037.0,6.0
131,11003000037.0,4.0
132,11003000037.0,3.0
133,11003000037.0,2.0
134,11003000037.0,2.0
135,11003000037.0,1.0
136,11003000037.0,1.0
137,11003000037.0,1.0
138,11003000037.0,1.0
139,11003000088.0,11.0
140,11003000088.0,6.0
141,11003000088.0,4.0
142,11003000088.0,3.0
143,11003000088.0,2.0
144,11003000088.0,2.0
145,11003000088.0,1.0
146,11003000088.0,1.0
147,11003000088.0,1.0
148,11003000088.0,1.0
149,11003000100.0,11.0
150,11003000100.0,6.0
151,11003000100.0,4.0
152,11003000100.0,3.0
153,11003000100.0,2.0
154,11003000100.0,2.0
155,11003000100.0,1.0
156,11003000100.0,1.0
157,11003000100.0,1.0
158,11003000100.0,1.0
159,11003000100.0,1.0
160,11003000188.0,11.0
161,11003000188.0,6.0
162,11003000188.0,4.0
163,11003000188.0,3.0
164,11003000188.0,2.0
165,11003000188.0,2.0
166,11003000188.0,1.0
167,11003000188.0,1.0
168,11003000188.0,1.0
169,11003000188.0,1.0
170,11003000253.0,12.0
171,11003000253.0,7.0
172,11003000253.0,4.0
173,11003000253.0,3.0
174,11003000253.0,2.0
175,11003000253.0,2.0
176,11003000253.0,1.0
177,11003000253.0,1.0
178,11003000253.0,1.0
179,11003000253.0,1.0
180,11003000253.0,1.0
181,11003000255.0,13.0
182,11003000255.0,7.0
183,11003000255.0,5.0
184,11003000255.0,4.0
185,11003000255.0,3.0
186,11003000255.0,2.0
187,11003000255.0,2.0
188,11003000255.0,2.0
189,11003000255.0,1.0
190,11003000255.0,1.0
191,11003000255.0,1.0
192,11003000255.0,1.0
193,11003000255.0,1.0
194,11003000258.0,11.0
195,11003000258.0,6.0
196,11003000258.0,4.0
197,11003000258.0,3.0
198,11003000258.0,2.0
199,11003000258.0,2.0
200,11003000258.0,1.0
201,11003000258.0,1.0
202,11003000258.0,1.0
203,11003000258.0,1.0
204,11003000263.0,12.0
205,11003000263.0,7.0
206,11003000263.0,5.0
207,11003000263.0,3.0
208,11003000263.0,3.0
209,11003000263.0,2.0
210,11003000263.0,2.0
211,11003000263.0,1.0
212,11003000263.0,1.0
213,11003000263.0,1.0
214,11003000263.0,1.0
215,11003000263.0,1.0
216,11039000021.0,12.0
217,11039000021.0,7.0
218,11039000021.0,5.0
219,11039000021.0,4.0
220,11039000021.0,3.0
221,11039000021.0,2.0
222,11039000021.0,2.0
223,11039000021.0,1.0
224,11039000021.0,1.0
225,11039000021.0,1.0
226,11039000021.0,1.0
227,11039000021.0,1.0
228,11039000027.0,12.0
229,11039000027.0,7.0
230,11039000027.0,5.0
231,11039000027.0,3.0
232,11039000027.0,3.0
233,11039000027.0,2.0
234,11039000027.0,2.0
235,11039000027.0,1.0
236,11039000027.0,1.0
237,11039000027.0,1.0
238,11039000027.0,1.0
239,11039000027.0,1.0
240,11039000053.0,13.0
241,11039000053.0,7.0
242,11039000053.0,5.0
243,11039000053.0,4.0
244,11039000053.0,3.0
245,11039000053.0,2.0
246,11039000053.0,2.0
247,11039000053.0,2.0
248,11039000053.0,1.0
249,11039000053.0,1.0
250,11039000053.0,1.0
251,11039000053.0,1.0
252,11039000053.0,1.0
253,11039000084.0,11.0
254,11039000084.0,6.0
255,11039000084.0,4.0
256,11039000084.0,3.0
257,11039000084.0,2.0
258,11039000084.0,2.0
259,11039000084.0,1.0
260,11039000084.0,1.0
261,11039000084.0,1.0
262,11039000084.0,1.0
263,11053000001.0,11.0
264,11053000001.0,6.0
265,11053000001.0,4.0
266,11053000001.0,3.0
267,11053000001.0,2.0
268,11053000001.0,2.0
269,11053000001.0,1.0
270,11053000001.0,1.0
271,11053000001.0,1.0
272,11053000001.0,1.0
273,11053000006.0,11.0
274,11053000006.0,6.0
275,11053000006.0,4.0
276,11053000006.0,3.0
277,11053000006.0,2.0
278,11053000006.0,2.0
279,11053000006.0,1.0
280,11053000006.0,1.0
281,11053000006.0,1.0
282,11053000006.0,1.0
283,11053000101.0,12.0
284,11053000101.0,7.0
285,11053000101.0,5.0
286,11053000101.0,3.0
287,11053000101.0,3.0
288,11053000101.0,2.0
289,11053000101.0,2.0
290,11053000101.0,1.0
291,11053000101.0,1.0
292,11053000101.0,1.0
293,11053000101.0,1.0
294,11053000101.0,1.0
295,11053000133.0,14.0
296,11053000133.0,8.0
297,11053000133.0,6.0
298,11053000133.0,5.0
299,11053000133.0,4.0
300,11053000133.0,3.0
301,11053000133.0,3.0
302,11053000133.0,2.0
303,11053000133.0,2.0
304,11053000133.0,2.0
