"Longitude","Latitude","SiteID","year","S","N","logS","logN","p1","p2","p3","p4","predS","predN","predlogS","predlogN"
-85.8,34.85,"AL_Steve_enson",2009,36,436,1.55630250076729,2.63948648926859,0.979102062397,0.827578701921,0.979099392875,0.827578710185,42.709905370511,2806.43431390935,1.60401441114275,2.81993951961838
-92.6167,36.2667,"AR_Crook_Creek",2009,31,178,1.49136169383427,2.25042000230889,0.942539046295,0.756333696407,0.942536955184,0.756333697348,38.381011997348,-780.807042840647,1.58344231908396,2.64149543895367
-92.3983,34.9017,"AR_Faulk_nties",2009,47,448,1.67209785793572,2.65127801399814,0.971303798296,0.925707623206,0.971303709682,0.925707623209,35.1559648352655,1451.65413776086,1.55921309625147,2.80477453622279
-94.3667,34.6833,"AR_Rich _ntain",2009,32,500,1.50514997831991,2.69897000433602,0.984996185414,0.436935519944,0.984986386636,0.436935830385,39.7078632086137,-1618.51343256065,1.57137515996185,2.41695023851111
-93.9,33.1667,"AR_Rick _e WMA",2009,41,1485,1.61278385671974,3.17172645365323,0.994774951525,0.818577449599,0.994772326188,0.818577568733,36.1413132703209,1141.74923200806,1.57323018078392,2.69782463732153
-111.1106,33.2788,"AZ_Boyce_retum",2009,30,144,1.47712125471966,2.15836249209525,0.925867070518,0.759154305994,0.925865501154,0.759154306323,50.0689722726592,1480.27100994189,1.71077305184283,3.14947135927632
-110.6833,31.4833,"AZ_Patag_gonia",2009,89,4653,1.94939000664491,3.66773305253327,0.996655850373,0.977090764507,0.996655847955,0.977090764507,60.8466830069775,1285.29162164523,1.70625163944622,2.94594390428061
-109.1667,33.85,"AZ_Porta_ortal",2009,62,862,1.79239168949825,2.93550726582471,0.982541733496,0.360119066397,0.982541732038,0.360119066397,56.1434762940192,-78.8163356707767,1.69166883644578,2.77290677723316
-110.3333,31.3333,"AZ_Ramse_anyon",2009,95,1978,1.97772360528885,3.29622628726116,0.989588114284,0.828063555124,0.989588115795,0.828063555124,65.4665551386102,1372.95580316173,1.71828443497303,2.98586313358852
-110.75,32.5,"AZ_Sabin_anyon",2009,50,519,1.69897000433602,2.71516735784846,0.974383873679,0.555169917857,0.974383825275,0.555169917862,54.9497161528895,1333.29969993869,1.73576857918668,3.04057971985866
