"Longitude","Latitude","SiteID","year","S","N","logS","logN","p1","p2","p3","p4","predS","predN","predlogS","predlogN"
-85.4,38.85,"L105820",109,38,1962,1.57978359661681,3.29269900304393,0.996610099711,0.124760841921,0.996604972453,0.124761531307,43.5068418329166,19010.3483064658,1.63971495233538,3.79314547096803
-111.1885,44.8607,"L105822",109,17,388,1.23044892137827,2.58883172559421,0.991065523736,0.478854369767,0.990725794486,0.479349347223,21.7596487665015,-28693.2563396231,1.31329813070187,2.95477863271274
-103.033,38.058,"L105824",109,53,52781,1.72427586960079,4.72247761419718,0.999890205078,0.000770884566844,0.999889829279,0.000770907821954,37.7677820976155,29212.9626793795,1.56829762835653,3.67275999954245
-79.8247,38.88937,"L105825",109,36,3568,1.55630250076729,3.55242484570409,0.99844858747,0.898888533809,0.998441542327,0.898892926109,44.8935517167566,-17165.588839102,1.63309718904486,3.68683123848135
-111.36,41.01,"L105826",109,30,6479,1.47712125471966,3.81150797994533,0.999385570027,0.671781762068,0.999372437299,0.671953915243,30.0151655003821,-26855.7316787804,1.46999854468464,3.54184452071409
-105.17,36.26,"L105828",109,19,717,1.27875360095283,2.8555191556678,0.995215206183,0.945215574188,0.995028832992,0.945324427997,37.777047080345,2856.68661861011,1.54802878786115,3.15763010925987
-121.118,44.265,"L105834",109,48,9762,1.68124123737559,3.9895388033205,0.999328362979,0.98697186694,0.999327272307,0.986971962963,40.525957973794,-23104.297566526,1.58770609106767,3.69700921411288
-118.8416667,50.65,"L106491",109,16,491,1.20411998265592,2.69108149212297,0.993973004557,0.47335970456,0.993588078355,0.474554710026,32.9567071696477,16479.1233422254,1.49421916440417,3.20260740279593
-111.5183333,50.7616667,"L106568",109,15,2029,1.17609125905568,3.30728204703335,0.999115813337,0.318777933469,0.998918704546,0.326489769695,16.1448225906465,-14851.1142114524,1.24532099731429,3.11172737528835
-113.8333,50.3333,"L106704",109,24,3726,1.38021124171161,3.57124285056022,0.999118029736,0.777559332497,0.999079424409,0.778019062625,27.2087087531211,4830.10814152122,1.40244737331102,3.45006671750452
-114.31069,34.45245,"L106770",109,53,2551,1.72427586960079,3.40671045860979,0.996304371469,0.947460944788,0.996304018555,0.947460946561,68.9363942995564,83983.7669374798,1.82284114746383,4.01016022473597
-75.8166667,42.85,"L106771",109,45,8745,1.65321251377534,3.9417598138147,0.999292541184,0.822749016262,0.999290883995,0.822751151615,35.9998104691478,1963.8853822645,1.55553163002641,3.768660485496
-124.95474,50.07593,"L106879",109,32,1184,1.50514997831991,3.0733517023869,0.99492189277,0.714122325784,0.994907253634,0.714126502927,41.0890783997266,36700.4938354059,1.6190675869324,3.89903252604102
-68.94182,44.50728,"L106997",109,39,3866,1.5910646070265,3.58726184969253,0.998446266241,0.809541012407,0.998441859666,0.809544168303,42.9330190557704,7826.65050131816,1.60908533634105,3.83573014615529
-91.29,46.01,"L107147",109,23,412,1.36172783601759,2.61489721603313,0.987483673654,0.267601002848,0.987397461063,0.267619991295,26.7071618600725,8663.17831238348,1.4349988834548,3.16228051913208
-94.4,48.9333,"L107148",109,22,861,1.34242268082221,2.93500315145365,0.995346093513,0.493067972062,0.995245505293,0.493258626581,22.4402712279221,18415.6933861889,1.35283009040675,3.03351731680582
-75.445,38.9583,"L107181",109,52,26444,1.7160033436348,4.42232714848893,0.999765218161,0.323910736075,0.999764685329,0.323913817376,57.5964700470312,35555.9568029937,1.73626289904659,4.22442074438831
-105.41,35.34,"L107476",109,25,958,1.39794000867204,2.98136550907854,0.995177452527,0.61350830297,0.995121299732,0.613569000928,43.938655156354,12455.2227857151,1.62562749242508,3.4196414076407
-106.55,51.0167,"L107707",109,23,1441,1.36172783601759,3.15866398081399,0.997381286658,0.562131001196,0.99731036343,0.562412864833,21.5859945721385,7394.29708114039,1.31315589852566,3.38051531896206
-79.15,41.85,"L12257",109,41,8305,1.61278385671974,3.91933963678741,0.999327000193,0.977861908984,0.999324141302,0.977862851004,38.127373763824,5854.15282807976,1.56989471904238,3.730645151959
-103.65,41.85,"L12258",109,30,5837,1.47712125471966,3.76618969331016,0.999305689819,0.776507646595,0.999291869512,0.776627046397,34.7351158227071,33418.2400442129,1.53599219779612,3.78490130719493
-71.0333,41.8667,"L12262",109,46,9815,1.66275783168157,3.99189030393602,0.999365008436,0.131022703738,0.999363597018,0.131024219303,49.3517475854146,29825.2149051909,1.6891964354395,3.96466742935464
-83.45,41.8667,"L12265",109,41,69339,1.61278385671974,4.84097757401473,0.999940133952,0.0122809441316,0.999939082826,0.0122878646505,40.0143704049604,21631.3057104516,1.58816104499648,3.81984130290337
-86.3333,41.8667,"L12268",109,42,7952,1.6232492903979,3.90047637138926,0.999271650128,0.852367799816,0.999269127319,0.852371567462,39.2845385781382,36460.6068140183,1.58496113199419,3.85384048185462
-87.5833,41.8667,"L12269",109,18,281,1.25527250510331,2.44870631990508,0.985252164491,0.814269256766,0.984969194797,0.814359560017,35.7923551643811,35224.0488472772,1.53829096233314,3.518345789873
-88.2667,41.8667,"L12270",109,46,17716,1.66275783168157,4.24836567161272,0.999678284414,0.881195231593,0.999677077262,0.881198906864,40.6036355066606,36246.9711155678,1.59053434176092,3.75926092967425
-121.5333,41.8667,"L12271",109,46,8975,1.66275783168157,3.95303445725036,0.999295581244,0.824484700197,0.999294148919,0.824486332071,43.2428951624634,-1652.03559432679,1.60855060520709,3.69105230049328
-70.6167,41.8833,"L12272",109,45,5007,1.65321251377534,3.69957759139891,0.998641953282,0.957362594088,0.998640209163,0.957362788794,51.5411440669955,28716.3285874297,1.70366060524374,4.05130024601475
-80.65,41.9,"L12282",109,36,3261,1.55630250076729,3.51335079880596,0.998273746558,0.932517231546,0.998266593214,0.932519800309,40.4118915206952,13401.2166449759,1.60799177240921,3.89688285719188
-87.7167,41.9,"L12283",109,39,7549,1.5910646070265,3.87788942537148,0.99929144796,0.779254037011,0.999287616659,0.779265626158,41.960819807575,36918.4116062949,1.60552744698712,3.79517444078233
-72.9833,41.9167,"L12287",109,44,8284,1.64345267648619,3.91824009022142,0.999266258888,0.869162831404,0.999264349829,0.869164847948,39.371461405374,15215.8480512403,1.59484215882615,3.55213656084874
-73.4333,41.9333,"L12293",109,42,5156,1.6232492903979,3.71231290868137,0.998791275658,0.288808152071,0.998788557167,0.288810912449,38.0292024970971,10898.384638409,1.5814011313445,3.54422025091087
-86.0833,41.9667,"L12301",109,38,4051,1.57978359661681,3.60756224318359,0.998575027026,0.992868319422,0.998569933386,0.99286854108,39.301513578327,35786.8874251363,1.58570561745194,3.85958448663497
-90.15,41.9667,"L12302",109,45,4537,1.65321251377534,3.65676877926602,0.998474450447,0.96250925437,0.998472718379,0.96250939092,39.9802790536152,35901.12658614,1.59486387970533,3.69860199383468
