Longitude,Latitude,SiteID,year,S,N,logS,logN,p1,p2,p3,p4,predS,predN,predlogS,predlogN
-122.4,51.9666667,11235,2009,47,592,1.672097858,2.772321707,0.980145881,0.000110778,0.980145708,0.000110778,48.59728856,433.2472308,1.677192946,2.615684831
-123.0166667,51.7833333,11236,2009,42,339,1.62324929,2.530199698,0.964097717,0.010063623,0.964097522,0.010063623,44.62973401,320.6979544,1.633971462,2.529508825
-121.3833333,52.4666667,11244,2009,52,520,1.716003344,2.716003344,0.973081769,0.000162719,0.97308174,0.000162719,43.4113088,392.6232827,1.631587388,2.606483167
-122.8,53.9333333,11255,2009,43,462,1.633468456,2.664641976,0.975528599,0.111765428,0.975528266,0.111765428,48.86463263,387.1015925,1.686100321,2.603786995
-122.65,54.3333333,11265,2009,54,692,1.73239376,2.840106094,0.980587888,0.365196219,0.980587864,0.365196219,45.04967523,396.8597933,1.64678473,2.624424257
-127.3666667,54.9833333,11270,2009,59,823,1.770852012,2.915399835,0.982616282,0.440298108,0.982616266,0.440298108,41.43398495,446.7375478,1.608301362,2.699301039
-120.38993,49.039061,11309,2009,40,300,1.602059991,2.477121255,0.960320719,0.779051259,0.960320442,0.779051259,47.76808809,505.5936344,1.68455554,2.644588238
-124.0333333,48.8166667,11402,2009,48,596,1.681241237,2.77524626,0.979770561,0.01534522,0.979770422,0.01534522,47.12292239,571.1860555,1.662549767,2.731280047
-118.7666667,49.7,11407,2009,49,407,1.69019608,2.609594409,0.965465804,0.789341133,0.965465779,0.789341133,45.94753454,511.7848981,1.637056108,2.664699638
-119.2666667,49.0666667,11408,2009,60,539,1.77815125,2.731588765,0.9689305,0.01154914,0.968930491,0.01154914,49.55808481,566.3337984,1.679613129,2.691051905
-120.7,49.8,11409,2009,59,478,1.770852012,2.679427897,0.964279447,0.349042097,0.964279439,0.349042097,52.28034742,545.5939119,1.718553198,2.677762451
-122.51666,49.18333,11411,2009,46,724,1.662757832,2.859738566,0.985126668,0.798739402,0.985126307,0.798739403,43.82549957,523.8653363,1.63569466,2.688432449
-118.7333333,50.2166667,11419,2009,58,799,1.763427994,2.902546779,0.982331969,0.117295602,0.98233195,0.117295602,45.61123473,530.0804725,1.644306038,2.692911885
-119.5833333,50.8166667,11420,2009,60,590,1.77815125,2.770852012,0.97247211,0.974606331,0.972472113,0.974606331,49.33870093,578.4426415,1.684298186,2.727642565
-121.75,53.7333333,11454,2009,47,420,1.672097858,2.62324929,0.968709908,0.541360226,0.96870984,0.541360226,40.30255324,243.1188322,1.593567354,2.518537036
-119.5166667,49.25,11608,2009,69,788,1.838849091,2.896526217,0.977422616,0.511705051,0.977422615,0.511705051,50.19137404,548.5963922,1.685958655,2.680848339
-120.2333333,49.4,11609,2009,46,393,1.662757832,2.59439255,0.966756647,0.011269554,0.966756567,0.011269554,51.32667627,490.698486,1.706564357,2.638464321
-125.18333,49.55,11614,2009,44,306,1.643452676,2.485721426,0.955988079,0.83431374,0.955988019,0.83431374,42.85615023,589.8322743,1.618760263,2.723363707
-120.1666667,49.7333333,11709,2009,40,300,1.602059991,2.477121255,0.960320719,0.025938466,0.960320442,0.025938466,52.82814017,580.5904429,1.721608704,2.706431664
-120.95,50.1333333,11721,2009,41,326,1.612783857,2.5132176,0.963358443,0.70816816,0.963358187,0.70816816,51.92524671,541.2237129,1.718021434,2.681071293
-123.0047055,41.8223332,14001,2009,48,997,1.681241237,2.998695158,0.989556665,0.081046816,0.989556297,0.081046817,50.71056671,625.5384254,1.696412853,2.754858848
