,SiteID,EnvPred
0,11001.0,102.0
1,11001.0,64.0
2,11001.0,48.0
3,11001.0,39.0
4,11001.0,32.0
5,11001.0,27.0
6,11001.0,23.0
7,11001.0,20.0
8,11001.0,18.0
9,11001.0,15.0
10,11001.0,14.0
11,11001.0,12.0
12,11001.0,11.0
13,11001.0,10.0
14,11001.0,9.0
15,11001.0,8.0
16,11001.0,7.0
17,11001.0,6.0
18,11001.0,6.0
19,11001.0,5.0
20,11001.0,5.0
21,11001.0,4.0
22,11001.0,4.0
23,11001.0,3.0
24,11001.0,3.0
25,11001.0,3.0
26,11001.0,2.0
27,11001.0,2.0
28,11001.0,2.0
29,11001.0,2.0
30,11001.0,2.0
31,11001.0,2.0
32,11001.0,1.0
33,11001.0,1.0
34,11001.0,1.0
35,11001.0,1.0
36,11001.0,1.0
37,11001.0,1.0
38,11001.0,1.0
39,11001.0,1.0
40,11001.0,1.0
41,11001.0,1.0
42,11003.0,70.0
43,11003.0,44.0
44,11003.0,33.0
45,11003.0,27.0
46,11003.0,22.0
47,11003.0,19.0
48,11003.0,16.0
49,11003.0,14.0
50,11003.0,13.0
51,11003.0,11.0
52,11003.0,10.0
53,11003.0,9.0
54,11003.0,8.0
55,11003.0,7.0
56,11003.0,6.0
57,11003.0,6.0
58,11003.0,5.0
59,11003.0,5.0
60,11003.0,4.0
61,11003.0,4.0
62,11003.0,3.0
63,11003.0,3.0
64,11003.0,3.0
65,11003.0,3.0
66,11003.0,2.0
67,11003.0,2.0
68,11003.0,2.0
69,11003.0,2.0
70,11003.0,2.0
71,11003.0,1.0
72,11003.0,1.0
73,11003.0,1.0
74,11003.0,1.0
75,11003.0,1.0
76,11003.0,1.0
77,11003.0,1.0
78,11003.0,1.0
79,11003.0,1.0
80,11003.0,1.0
81,11003.0,1.0
82,11005.0,74.0
83,11005.0,46.0
84,11005.0,35.0
85,11005.0,28.0
86,11005.0,23.0
87,11005.0,19.0
88,11005.0,16.0
89,11005.0,14.0
90,11005.0,12.0
91,11005.0,11.0
92,11005.0,9.0
93,11005.0,8.0
94,11005.0,7.0
95,11005.0,7.0
96,11005.0,6.0
97,11005.0,5.0
98,11005.0,5.0
99,11005.0,4.0
100,11005.0,4.0
101,11005.0,3.0
102,11005.0,3.0
103,11005.0,3.0
104,11005.0,2.0
105,11005.0,2.0
106,11005.0,2.0
107,11005.0,2.0
108,11005.0,2.0
109,11005.0,1.0
110,11005.0,1.0
111,11005.0,1.0
112,11005.0,1.0
113,11005.0,1.0
114,11005.0,1.0
115,11005.0,1.0
116,11005.0,1.0
117,11005.0,1.0
118,11005.0,1.0
119,11006.0,87.0
120,11006.0,57.0
121,11006.0,44.0
122,11006.0,36.0
123,11006.0,30.0
124,11006.0,26.0
125,11006.0,23.0
126,11006.0,20.0
127,11006.0,18.0
128,11006.0,16.0
129,11006.0,15.0
130,11006.0,13.0
131,11006.0,12.0
132,11006.0,11.0
133,11006.0,10.0
134,11006.0,9.0
135,11006.0,8.0
136,11006.0,8.0
137,11006.0,7.0
138,11006.0,6.0
139,11006.0,6.0
140,11006.0,5.0
141,11006.0,5.0
142,11006.0,5.0
143,11006.0,4.0
144,11006.0,4.0
145,11006.0,4.0
146,11006.0,3.0
147,11006.0,3.0
148,11006.0,3.0
149,11006.0,3.0
150,11006.0,2.0
151,11006.0,2.0
152,11006.0,2.0
153,11006.0,2.0
154,11006.0,2.0
155,11006.0,2.0
156,11006.0,2.0
157,11006.0,1.0
